company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,sched_dep_dt,actual_dep_dt,delay_min,turn_gap_min,difficulty_score,difficulty_classification,daily_rank
OO,4792,2025-08-04,ORD,ROA,2025-08-04T17:57:00Z,2025-08-04T21:04:00Z,2025-08-04T18:04:00Z,2025-08-04T20:52:00Z,76,ERJ-175,Express,42,34,34,2025-08-04 17:57:00+00:00,2025-08-04 18:04:00+00:00,7.0,8,50.72897172884336,Easy,197
UA,920,2025-08-03,ORD,LHR,2025-08-03T18:05:00Z,2025-08-04T08:20:00Z,2025-08-03T18:27:00Z,2025-08-04T08:06:00Z,167,B767-300,Mainline,235,229,145,2025-08-03 18:05:00+00:00,2025-08-03 18:27:00+00:00,22.0,90,42.48232806118535,Easy,455
UA,1776,2025-08-10,ORD,PHL,2025-08-10T18:20:00Z,2025-08-10T21:35:00Z,2025-08-10T20:11:00Z,2025-08-10T23:26:00Z,166,B737-800,Mainline,76,69,51,2025-08-10 18:20:00+00:00,2025-08-10 20:11:00+00:00,111.0,25,48.89045888461652,Easy,314
OO,5790,2025-08-06,ORD,CRW,2025-08-06T18:20:00Z,2025-08-06T21:04:00Z,2025-08-06T20:05:00Z,2025-08-06T22:42:00Z,50,CRJ-200,Express,223,38,29,2025-08-06 18:20:00+00:00,2025-08-06 20:05:00+00:00,105.0,194,39.806652874519784,Easy,412
UA,1398,2025-08-05,ORD,ATL,2025-08-05T18:20:00Z,2025-08-05T21:29:00Z,2025-08-05T18:16:00Z,2025-08-05T21:49:00Z,166,B737-800,Mainline,75,72,51,2025-08-05 18:20:00+00:00,2025-08-05 18:16:00+00:00,-4.0,24,50.571753660658935,Easy,234
OO,5470,2025-08-07,ORD,GEG,2025-08-07T08:40:00Z,2025-08-07T10:56:00Z,2025-08-07T08:36:00Z,2025-08-07T10:43:00Z,76,ERJ-175,Express,49,44,34,2025-08-07 08:40:00+00:00,2025-08-07 08:36:00+00:00,-4.0,15,50.585092839789326,Easy,243
UA,374,2025-08-15,ORD,MSP,2025-08-15T16:10:00Z,2025-08-15T17:49:00Z,2025-08-15T16:38:00Z,2025-08-15T18:24:00Z,126,A319-100,Mainline,54,41,43,2025-08-15 16:10:00+00:00,2025-08-15 16:38:00+00:00,28.0,11,55.37425551158024,Difficult,79
UA,1577,2025-08-15,ORD,SFO,2025-08-15T14:40:00Z,2025-08-15T17:26:00Z,2025-08-15T14:39:00Z,2025-08-15T17:11:00Z,234,B757-300,Mainline,123,134,66,2025-08-15 14:40:00+00:00,2025-08-15 14:39:00+00:00,-1.0,57,47.202157573775594,Easy,389
UA,881,2025-08-03,ORD,HND,2025-08-03T12:50:00Z,2025-08-04T15:55:00Z,2025-08-03T13:15:00Z,2025-08-04T16:01:00Z,318,B787-10,Mainline,365,407,155,2025-08-03 12:50:00+00:00,2025-08-03 13:15:00+00:00,25.0,210,40.93758985907263,Easy,462
UA,2006,2025-08-09,ORD,GUA,2025-08-09T09:14:00Z,2025-08-09T12:45:00Z,2025-08-09T09:24:00Z,2025-08-09T12:57:00Z,166,B737-MAX8,Mainline,90,126,65,2025-08-09 09:14:00+00:00,2025-08-09 09:24:00+00:00,10.0,25,59.58766815202016,Difficult,30
